year,unsoldUnits,moveInUnits,householdIncome,mortgageRate,source
2026,1311,1882,4173,0,"미분양주택현황 2026년 7월말; 260831 입주예정물량 공개용; 2025년 강릉시 사회조사 가구 월평균 소득 가중평균"
2027,1311,555,4173,0,"260831 입주예정물량 공개용; 미분양/소득은 최신 확인값 유지"
2028,1311,297,4173,0,"260831 입주예정물량 공개용; 미분양/소득은 최신 확인값 유지"
